emp_no,emp_title_id,birth_date,first_name,last_name,sex,hire_date
473302,s0001,7/25/1953,Hideyuki,Zallocco,M,4/28/1990
475053,e0002,11/18/1954,Byong,Delgrande,F,9/7/1991
57444,e0002,1/30/1958,Berry,Babb,F,3/21/1992
421786,s0001,9/28/1957,Xiong,Verhoeff,M,11/26/1987
282238,e0003,10/28/1952,Abdelkader,Baumann,F,1/18/1991
263976,e0003,10/30/1959,Eran,Cusworth,M,11/14/1986
273487,s0001,4/14/1957,Christoph,Parfitt,M,6/28/1991
461591,s0002,11/17/1964,Xudong,Samarati,M,11/13/1985
477657,e0002,12/18/1962,Lihong,Magliocco,M,10/23/1993
219881,s0002,4/24/1956,Kwangyoen,Speek,F,2/14/1993
29920,e0002,12/31/1961,Shuichi,Tyugu,F,1/17/1995
208153,e0003,10/25/1961,Abdulah,Lunn,M,4/8/1989
13616,e0003,8/30/1961,Perry,Lorho,F,8/3/1991
246449,s0001,3/23/1958,Subbu,Bultermann,F,3/25/1988
21529,e0002,5/19/1959,Bojan,Zallocco,M,10/14/1986
17934,e0004,7/12/1963,Bilhanan,Wuwongse,M,10/6/1993
48085,s0001,1/19/1964,Venkatesan,Gilg,M,6/28/1993
239838,e0002,12/11/1957,Naftali,Dulli,M,6/6/1993
240129,e0004,8/11/1952,Roddy,Karnin,M,5/29/1985
205246,s0002,11/25/1958,Nevio,Demizu,F,5/18/1986
476443,s0001,8/27/1952,Ziya,Asmuth,M,8/24/1995
424270,s0001,1/15/1963,Kellyn,Yoshizawa,F,5/8/1995
71530,e0003,2/9/1959,Venkatesan,McAlpine,M,3/31/1989
427958,s0001,5/3/1957,Feixiong,Poujol,F,5/11/1985
280408,s0001,9/19/1964,Elliott,Perl,M,10/29/1987
104639,e0003,6/19/1960,Theron,Escriba,F,9/14/1999
214555,e0003,10/8/1960,Nechama,Copas,F,10/27/1987
229010,s0001,11/12/1961,Mark,Cappelli,M,5/7/1990
35916,e0003,8/15/1953,Wonhee,Talmon,F,3/20/1985
61583,e0003,6/4/1957,Ziva,Vecchi,M,7/3/1986
67799,e0002,10/17/1961,Pantung,Cools,M,1/28/1994
37061,s0001,6/25/1964,Piyawadee,Herbst,F,4/12/1990
411412,e0003,1/11/1953,Hairong,Schaar,M,12/24/1987
422587,e0003,7/3/1954,Mohit,Speek,F,1/14/1986
35270,e0004,1/2/1953,Masali,Bakhtari,M,2/5/1991
105597,s0002,8/14/1956,Christfried,Kabayashi,M,5/11/1987
244689,s0001,4/13/1956,Urs,Saoudi,M,9/2/1991
48885,e0003,8/28/1958,Phuoc,Antonisse,M,2/18/1993
244492,e0003,5/22/1958,Shaunak,Pettit,M,7/19/1994
215615,e0002,2/13/1957,Bader,Chinal,F,1/8/1990
95280,e0003,2/14/1960,Owen,Hiraishi,F,8/7/1985
37473,s0001,3/6/1952,Prasadram,Valette,M,2/16/1994
43471,e0002,1/10/1964,Mechthild,Gihr,F,5/10/1995
289261,s0001,2/4/1958,Gad,Nollmann,M,10/1/1985
26941,e0003,12/2/1963,Shigeu,Masamoto,M,8/27/1989
465253,e0003,8/6/1957,Gladys,Yoshimura,F,7/23/1990
444985,s0001,1/20/1956,Giap,Verspoor,F,3/17/1990
299898,s0001,2/15/1964,Munehiko,Janocha,M,12/11/1988
492723,e0003,9/30/1959,Piyawadee,Sanella,M,7/11/1987
425023,e0003,8/4/1953,Shaowen,Krone,M,11/18/1990
411614,e0003,3/29/1958,Martins,Wynblatt,M,2/15/1992
425656,s0001,10/10/1964,Basem,Imataki,M,7/1/1987
252000,e0001,12/3/1952,Zhonghui,Gyimothy,F,3/2/1989
477628,s0001,3/18/1956,Duro,Beutelspacher,M,2/2/1991
